"event","top_inning","batter_name","date"
"Grounded Into DP","N","Danny Espinosa","2012-06-17"
"Home Run","Y","Curtis Granderson","2012-06-17"
"Flyout","Y","Alex Rodriguez","2012-06-17"
"Single","Y","Robinson Cano","2012-06-17"
"Flyout","Y","Mark Teixeira","2012-06-17"
"Lineout","Y","Raul Ibanez","2012-06-17"
"Single","N","Jhonatan Solano","2012-06-17"
"Sac Bunt","N","Edwin Jackson","2012-06-17"
"Groundout","N","Stephen Lombardozzi","2012-06-17"
"Groundout","N","Steve Lombardozzi","2012-06-17"
"Lineout","N","Bryce Harper","2012-06-17"
"Walk","Y","Andruw Jones","2012-06-17"
"Single","Y","Chris Stewart","2012-06-17"
"Sac Bunt","Y","Ivan Nova","2012-06-17"
"Flyout","Y","Derek Jeter","2012-06-17"
"Groundout","Y","Curtis Granderson","2012-06-17"
"Groundout","N","Ryan Zimmerman","2012-06-17"
"Groundout","N","Adam LaRoche","2012-06-17"
"Flyout","N","Mike Morse","2012-06-17"
"Flyout","N","Michael Morse","2012-06-17"
"Strikeout","Y","Alex Rodriguez","2012-06-17"
"Home Run","Y","Robinson Cano","2012-06-17"
"Double","Y","Mark Teixeira","2012-06-17"
"Groundout","Y","Raul Ibanez","2012-06-17"
"Walk","Y","Andruw Jones","2012-06-17"
"Groundout","Y","Chris Stewart","2012-06-17"
"Flyout","N","Ian Desmond","2012-06-17"
"Walk","N","Danny Espinosa","2012-06-17"
"Flyout","N","Jhonatan Solano","2012-06-17"
"Strikeout","N","Roger Bernadina","2012-06-17"
"Strikeout","Y","Ivan Nova","2012-06-17"
"Strikeout","Y","Ivan Nova","2012-06-17"
"Strikeout","Y","Ivan Nova","2012-06-17"
"Strikeout","Y","Derek Jeter","2012-06-17"
"Strikeout","Y","Derek Jeter","2012-06-17"
"Strikeout","Y","Derek Jeter","2012-06-17"
"Walk","Y","Curtis Granderson","2012-06-17"
"Walk","Y","Curtis Granderson","2012-06-17"
"Walk","Y","Curtis Granderson","2012-06-17"
"Pop Out","Y","Alex Rodriguez","2012-06-17"
"Pop Out","Y","Alex Rodriguez","2012-06-17"
"Pop Out","Y","Alex Rodriguez","2012-06-17"
"Pop Out","N","Stephen Lombardozzi","2012-06-17"
"Pop Out","N","Steve Lombardozzi","2012-06-17"
"Single","N","Bryce Harper","2012-06-17"
"Flyout","N","Ryan Zimmerman","2012-06-17"
"Flyout","N","Adam LaRoche","2012-06-17"
"Groundout","Y","Robinson Cano","2012-06-17"
"Double","Y","Mark Teixeira","2012-06-17"
"Flyout","Y","Raul Ibanez","2012-06-17"
"Groundout","Y","Andruw Jones","2012-06-17"
"Groundout","N","Mike Morse","2012-06-17"
"Groundout","N","Michael Morse","2012-06-17"
"Strikeout","N","Ian Desmond","2012-06-17"
"Groundout","N","Danny Espinosa","2012-06-17"
"Groundout","Y","Jimmy Rollins","2012-06-17"
"Strikeout","Y","Placido Polanco","2012-06-17"
"Strikeout","Y","Hunter Pence","2012-06-17"
"Double","N","Brett Lawrie","2012-06-17"
"Double","N","Colby Rasmus","2012-06-17"
"Walk","N","Jose Bautista","2012-06-17"
"Strikeout","N","Edwin Encarnacion","2012-06-17"
"Single","N","Kelly Johnson","2012-06-17"
"Flyout","N","Yunel Escobar","2012-06-17"
"Home Run","Y","Jim Thome","2012-06-17"
"Strikeout","Y","Shane Victorino","2012-06-17"
"Strikeout","Y","Carlos Ruiz","2012-06-17"
"Flyout","Y","Hector Luna","2012-06-17"
"Groundout","N","Yan Gomes","2012-06-17"
"Strikeout","N","Rajai Davis","2012-06-17"
"Pop Out","N","Jeff Mathis","2012-06-17"
"Home Run","Y","John Mayberry","2012-06-17"
"Home Run","Y","John MayberryJr.","2012-06-17"
"Groundout","Y","Michael Martinez","2012-06-17"
"Flyout","Y","Jimmy Rollins","2012-06-17"
"Walk","Y","Placido Polanco","2012-06-17"
"Single","Y","Hunter Pence","2012-06-17"
"Groundout","Y","Jim Thome","2012-06-17"
"Groundout","N","Brett Lawrie","2012-06-17"
"Flyout","N","Colby Rasmus","2012-06-17"
"Groundout","N","Jose Bautista","2012-06-17"
"Single","Y","Shane Victorino","2012-06-17"
"Lineout","Y","Carlos Ruiz","2012-06-17"
"Double Play","Y","Hector Luna","2012-06-17"
"Single","N","Edwin Encarnacion","2012-06-17"
"Grounded Into DP","N","Kelly Johnson","2012-06-17"
"Single","N","Yunel Escobar","2012-06-17"
"Hit By Pitch","N","Yan Gomes","2012-06-17"
"Single","N","Rajai Davis","2012-06-17"
"Strikeout","N","Jeff Mathis","2012-06-17"
"Single","Y","John Mayberry","2012-06-17"
"Single","Y","John MayberryJr.","2012-06-17"
"Flyout","Y","Michael Martinez","2012-06-17"
"Strikeout","Y","Jimmy Rollins","2012-06-17"
"Field Error","Y","Placido Polanco","2012-06-17"
"Flyout","Y","Hunter Pence","2012-06-17"
"Walk","N","Brett Lawrie","2012-06-17"
"Home Run","N","Colby Rasmus","2012-06-17"
"Pop Out","N","Jose Bautista","2012-06-17"
"Pop Out","N","Edwin Encarnacion","2012-06-17"
"Flyout","N","Kelly Johnson","2012-06-17"
"Groundout","Y","Jim Thome","2012-06-17"
"Single","Y","Shane Victorino","2012-06-17"
"Lineout","Y","Carlos Ruiz","2012-06-17"
"Pop Out","Y","Hector Luna","2012-06-17"
"Flyout","N","Yunel Escobar","2012-06-17"
"Strikeout","N","Yan Gomes","2012-06-17"
"Flyout","N","Rajai Davis","2012-06-17"
"Pop Out","Y","John Mayberry","2012-06-17"
"Pop Out","Y","John MayberryJr.","2012-06-17"
"Flyout","Y","Michael Martinez","2012-06-17"
"Strikeout","Y","Jimmy Rollins","2012-06-17"
"Double","N","Jeff Mathis","2012-06-17"
"Lineout","N","Brett Lawrie","2012-06-17"
"Single","N","Colby Rasmus","2012-06-17"
"Flyout","N","Jose Bautista","2012-06-17"
"Strikeout","Y","Placido Polanco","2012-06-17"
"Flyout","Y","Hunter Pence","2012-06-17"
"Groundout","Y","Jim Thome","2012-06-17"
"Walk","N","Edwin Encarnacion","2012-06-17"
"Forceout","N","Kelly Johnson","2012-06-17"
"Strikeout","N","Yunel Escobar","2012-06-17"
"Strikeout","N","Yan Gomes","2012-06-17"
"Groundout","Y","Shane Victorino","2012-06-17"
"Strikeout","Y","Carlos Ruiz","2012-06-17"
"Single","Y","Hector Luna","2012-06-17"
"Single","Y","John Mayberry","2012-06-17"
"Single","Y","John MayberryJr.","2012-06-17"
"Forceout","Y","Mike Fontenot","2012-06-17"
"Groundout","Y","Alex Presley","2012-06-17"
"Single","Y","Neil Walker","2012-06-17"
"Lineout","Y","Andrew McCutchen","2012-06-17"
"Groundout","Y","Garrett Jones","2012-06-17"
"Flyout","N","Shin-Soo Choo","2012-06-17"
"Pop Out","N","Asdrubal Cabrera","2012-06-17"
"Home Run","N","Jason Kipnis","2012-06-17"
"Flyout","N","Jose Lopez","2012-06-17"
"Single","Y","Casey McGehee","2012-06-17"
"Pop Out","Y","Pedro Alvarez","2012-06-17"
"Grounded Into DP","Y","Matt Hague","2012-06-17"
"Strikeout","N","Michael Brantley","2012-06-17"
"Flyout","N","Jack Hannahan","2012-06-17"
"Single","N","Johnny Damon","2012-06-17"
"Single","N","Casey Kotchman","2012-06-17"
"Single","N","Lou Marson","2012-06-17"
"Strikeout","N","Shin-Soo Choo","2012-06-17"
"Flyout","Y","Clint Barmes","2012-06-17"
"Strikeout","Y","Michael McKenry","2012-06-17"
"Groundout","Y","Alex Presley","2012-06-17"
"Single","N","Asdrubal Cabrera","2012-06-17"
"Single","N","Jason Kipnis","2012-06-17"
"Pop Out","N","Jose Lopez","2012-06-17"
"Flyout","N","Michael Brantley","2012-06-17"
"Groundout","N","Jack Hannahan","2012-06-17"
"Groundout","Y","Neil Walker","2012-06-17"
"Single","Y","Andrew McCutchen","2012-06-17"
"Forceout","Y","Garrett Jones","2012-06-17"
"Field Error","Y","Casey McGehee","2012-06-17"
"Home Run","Y","Pedro Alvarez","2012-06-17"
"Single","Y","Matt Hague","2012-06-17"
"Pop Out","Y","Clint Barmes","2012-06-17"
"Double","N","Johnny Damon","2012-06-17"
"Groundout","N","Casey Kotchman","2012-06-17"
"Walk","N","Lou Marson","2012-06-17"
"Double","N","Shin-Soo Choo","2012-06-17"
"Pop Out","N","Asdrubal Cabrera","2012-06-17"
"Flyout","N","Jason Kipnis","2012-06-17"
"Groundout","Y","Michael McKenry","2012-06-17"
"Home Run","Y","Alex Presley","2012-06-17"
"Walk","Y","Neil Walker","2012-06-17"
"Fan interference","Y","Andrew McCutchen","2012-06-17"
"Intent Walk","Y","Garrett Jones","2012-06-17"
"Field Error","Y","Casey McGehee","2012-06-17"
"Home Run","Y","Pedro Alvarez","2012-06-17"
"Pop Out","Y","Matt Hague","2012-06-17"
"Lineout","Y","Clint Barmes","2012-06-17"
"Lineout","N","Jose Lopez","2012-06-17"
"Lineout","N","Michael Brantley","2012-06-17"
"Single","N","Jack Hannahan","2012-06-17"
"Strikeout","N","Johnny Damon","2012-06-17"
"Flyout","Y","Michael McKenry","2012-06-17"
"Groundout","Y","Alex Presley","2012-06-17"
"Hit By Pitch","Y","Neil Walker","2012-06-17"
"Flyout","Y","Andrew McCutchen","2012-06-17"
"Groundout","N","Casey Kotchman","2012-06-17"
"Walk","N","Lou Marson","2012-06-17"
"Grounded Into DP","N","Shin-Soo Choo","2012-06-17"
"Flyout","Y","Garrett Jones","2012-06-17"
"Strikeout","Y","Casey McGehee","2012-06-17"
"Double","Y","Pedro Alvarez","2012-06-17"
"Strikeout","Y","Matt Hague","2012-06-17"
"Groundout","N","Asdrubal Cabrera","2012-06-17"
"Single","N","Jason Kipnis","2012-06-17"
"Groundout","N","Jose Lopez","2012-06-17"
"Double","N","Michael Brantley","2012-06-17"
"Flyout","N","Jack Hannahan","2012-06-17"
"Strikeout","Y","Clint Barmes","2012-06-17"
"Walk","Y","Michael McKenry","2012-06-17"
"Grounded Into DP","Y","Alex Presley","2012-06-17"
"Flyout","N","Johnny Damon","2012-06-17"
"Flyout","N","Johnny Damon","2012-06-17"
"Strikeout","N","Casey Kotchman","2012-06-17"
"Strikeout","N","Casey Kotchman","2012-06-17"
"Groundout","N","Lou Marson","2012-06-17"
"Groundout","N","Lou Marson","2012-06-17"
"Strikeout","Y","Neil Walker","2012-06-17"
"Groundout","Y","Andrew McCutchen","2012-06-17"
"Double","Y","Jose Tabata","2012-06-17"
"Strikeout","Y","Casey McGehee","2012-06-17"
"Pop Out","N","Shin-Soo Choo","2012-06-17"
"Single","N","Asdrubal Cabrera","2012-06-17"
"Strikeout","N","Jason Kipnis","2012-06-17"
"Pop Out","Y","Will Venable","2012-06-17"
"Field Error","Y","Chris Denorfia","2012-06-17"
"Strikeout","Y","Chase Headley","2012-06-17"
"Flyout","Y","Carlos Quentin","2012-06-17"
"Lineout","N","Coco Crisp","2012-06-17"
"Groundout","N","Jemile Weeks","2012-06-17"
"Groundout","N","Josh Reddick","2012-06-17"
"Flyout","Y","Yonder Alonso","2012-06-17"
"Groundout","Y","Cameron Maybin","2012-06-17"
"Strikeout","Y","Nick Hundley","2012-06-17"
"Single","N","Jonny Gomes","2012-06-17"
"Forceout","N","Brandon Inge","2012-06-17"
"Strikeout","N","Collin Cowgill","2012-06-17"
"Walk","N","Brandon Moss","2012-06-17"
"Groundout","N","Kurt Suzuki","2012-06-17"
"Single","Y","Everth Cabrera","2012-06-17"
"Sac Bunt","Y","Alexi Amarista","2012-06-17"
"Fielders Choice Out","Y","Will Venable","2012-06-17"
"Single","Y","Chris Denorfia","2012-06-17"
"Pop Out","Y","Chase Headley","2012-06-17"
"Pop Out","Y","Carlos Quentin","2012-06-17"
"Strikeout","N","Cliff Pennington","2012-06-17"
"Groundout","N","Coco Crisp","2012-06-17"
"Flyout","N","Jemile Weeks","2012-06-17"
"Groundout","Y","Yonder Alonso","2012-06-17"
"Groundout","Y","Cameron Maybin","2012-06-17"
"Flyout","Y","Nick Hundley","2012-06-17"
"Hit By Pitch","N","Josh Reddick","2012-06-17"
"Single","N","Jonny Gomes","2012-06-17"
"Forceout","N","Brandon Inge","2012-06-17"
"Forceout","N","Collin Cowgill","2012-06-17"
"Groundout","N","Brandon Moss","2012-06-17"
"Strikeout","Y","Everth Cabrera","2012-06-17"
"Flyout","Y","Alexi Amarista","2012-06-17"
"Strikeout","Y","Will Venable","2012-06-17"
"Flyout","N","Kurt Suzuki","2012-06-17"
"Strikeout","N","Cliff Pennington","2012-06-17"
"Single","N","Coco Crisp","2012-06-17"
"Forceout","N","Jemile Weeks","2012-06-17"
"Walk","Y","Chris Denorfia","2012-06-17"
"Walk","Y","Chase Headley","2012-06-17"
"Strikeout","Y","Carlos Quentin","2012-06-17"
"Grounded Into DP","Y","Yonder Alonso","2012-06-17"
"Flyout","N","Josh Reddick","2012-06-17"
"Strikeout","N","Jonny Gomes","2012-06-17"
"Walk","N","Brandon Inge","2012-06-17"
"Single","N","Collin Cowgill","2012-06-17"
"Forceout","N","Brandon Moss","2012-06-17"
"Single","Y","Cameron Maybin","2012-06-17"
"Batter Interference","Y","Nick Hundley","2012-06-17"
"Bunt Groundout","Y","Everth Cabrera","2012-06-17"
"Strikeout","N","Kurt Suzuki","2012-06-17"
"Groundout","N","Cliff Pennington","2012-06-17"
"Groundout","N","Coco Crisp","2012-06-17"
"Groundout","Y","Alexi Amarista","2012-06-17"
"Single","Y","Will Venable","2012-06-17"
"Forceout","Y","Chris Denorfia","2012-06-17"
"Forceout","Y","Chase Headley","2012-06-17"
"Groundout","N","Jemile Weeks","2012-06-17"
"Strikeout","N","Josh Reddick","2012-06-17"
"Single","N","Jonny Gomes","2012-06-17"
"Strikeout","N","Brandon Inge","2012-06-17"
"Double","Y","Carlos Quentin","2012-06-17"
"Sac Bunt","Y","Yonder Alonso","2012-06-17"
"Strikeout","Y","Cameron Maybin","2012-06-17"
"Strikeout","Y","Nick Hundley","2012-06-17"
"Groundout","N","Collin Cowgill","2012-06-17"
"Walk","N","Brandon Moss","2012-06-17"
"Forceout","N","Seth Smith","2012-06-17"
"Walk","N","Cliff Pennington","2012-06-17"
"Single","N","Coco Crisp","2012-06-17"
"Strikeout","N","Jemile Weeks","2012-06-17"
"Strikeout","Y","Gregor Blanco","2012-06-17"
"Single","Y","Pablo Sandoval","2012-06-17"
"Single","Y","Melky Cabrera","2012-06-17"
"Strikeout","Y","Buster Posey","2012-06-17"
"Single","Y","Angel Pagan","2012-06-17"
"Walk","Y","Brandon Belt","2012-06-17"
"Flyout","Y","Hector Sanchez","2012-06-17"
"Flyout","N","Ichiro Suzuki","2012-06-17"
"Field Error","N","Franklin Gutierrez","2012-06-17"
"Flyout","N","Kyle Seager","2012-06-17"
"Flyout","N","Jesus Montero","2012-06-17"
"Groundout","Y","Brandon Crawford","2012-06-17"
"Strikeout","Y","Emmanuel Burriss","2012-06-17"
"Single","Y","Gregor Blanco","2012-06-17"
"Flyout","Y","Pablo Sandoval","2012-06-17"
"Single","N","Casper Wells","2012-06-17"
"Flyout","N","Justin Smoak","2012-06-17"
"Double","N","Miguel Olivo","2012-06-17"
"Sac Fly","N","Dustin Ackley","2012-06-17"
"Groundout","N","Brendan Ryan","2012-06-17"
"Strikeout","Y","Melky Cabrera","2012-06-17"
"Single","Y","Buster Posey","2012-06-17"
"Flyout","Y","Angel Pagan","2012-06-17"
"Strikeout","Y","Brandon Belt","2012-06-17"
"Lineout","N","Ichiro Suzuki","2012-06-17"
"Groundout","N","Franklin Gutierrez","2012-06-17"
"Strikeout","N","Kyle Seager","2012-06-17"
"Groundout","Y","Hector Sanchez","2012-06-17"
"Field Error","Y","Brandon Crawford","2012-06-17"
"Flyout","Y","Emmanuel Burriss","2012-06-17"
"Pop Out","Y","Gregor Blanco","2012-06-17"
"Groundout","N","Jesus Montero","2012-06-17"
"Groundout","N","Casper Wells","2012-06-17"
"Flyout","N","Justin Smoak","2012-06-17"
"Flyout","Y","Pablo Sandoval","2012-06-17"
"Lineout","Y","Melky Cabrera","2012-06-17"
"Strikeout","Y","Buster Posey","2012-06-17"
"Flyout","N","Miguel Olivo","2012-06-17"
"Strikeout","N","Dustin Ackley","2012-06-17"
"Flyout","N","Brendan Ryan","2012-06-17"
"Groundout","Y","Angel Pagan","2012-06-17"
"Flyout","Y","Brandon Belt","2012-06-17"
"Flyout","Y","Hector Sanchez","2012-06-17"
"Lineout","N","Ichiro Suzuki","2012-06-17"
"Strikeout","N","Franklin Gutierrez","2012-06-17"
"Pop Out","N","Kyle Seager","2012-06-17"
"Single","Y","Brandon Crawford","2012-06-17"
"Forceout","Y","Emmanuel Burriss","2012-06-17"
"Flyout","Y","Gregor Blanco","2012-06-17"
"Strikeout","Y","Pablo Sandoval","2012-06-17"
"Lineout","N","Jesus Montero","2012-06-17"
"Bunt Groundout","N","Casper Wells","2012-06-17"
"Flyout","N","Justin Smoak","2012-06-17"
"Groundout","Y","Melky Cabrera","2012-06-17"
"Single","Y","Buster Posey","2012-06-17"
"Flyout","Y","Angel Pagan","2012-06-17"
"Single","Y","Brandon Belt","2012-06-17"
"Groundout","Y","Hector Sanchez","2012-06-17"
"Flyout","N","Miguel Olivo","2012-06-17"
"Walk","N","Dustin Ackley","2012-06-17"
"Single","N","Brendan Ryan","2012-06-17"
"Forceout","N","Ichiro Suzuki","2012-06-17"
"Strikeout","N","Franklin Gutierrez","2012-06-17"
"Groundout","Y","Brandon Crawford","2012-06-17"
"Single","Y","Emmanuel Burriss","2012-06-17"
"Walk","Y","Gregor Blanco","2012-06-17"
"Walk","Y","Pablo Sandoval","2012-06-17"
"Strikeout","Y","Melky Cabrera","2012-06-17"
"Groundout","Y","Nate Schierholtz","2012-06-17"
"Single","N","Kyle Seager","2012-06-17"
"Single","N","Jesus Montero","2012-06-17"
"Forceout","N","Michael Saunders","2012-06-17"
"Single","N","Justin Smoak","2012-06-17"
"Triple","Y","Michael Bourn","2012-06-18"
"Triple","Y","Michael Bourn","2012-06-18"
"Groundout","Y","Martin Prado","2012-06-18"
"Groundout","Y","Martin Prado","2012-06-18"
"Strikeout","Y","Brian McCann","2012-06-18"
"Strikeout","Y","Brian McCann","2012-06-18"
"Groundout","Y","Dan Uggla","2012-06-18"
"Groundout","Y","Dan Uggla","2012-06-18"
"Groundout","N","Derek Jeter","2012-06-18"
"Strikeout","N","Curtis Granderson","2012-06-18"
"Strikeout","N","Mark Teixeira","2012-06-18"
"Groundout","Y","Matt Diaz","2012-06-18"
"Groundout","Y","Matt Diaz","2012-06-18"
"Flyout","Y","Chipper Jones","2012-06-18"
"Flyout","Y","Chipper Jones","2012-06-18"
"Strikeout","Y","Jason Heyward","2012-06-18"
"Strikeout","Y","Jason Heyward","2012-06-18"
"Walk","N","Alex Rodriguez","2012-06-18"
"Grounded Into DP","N","Robinson Cano","2012-06-18"
"Strikeout","N","Andruw Jones","2012-06-18"
"Pop Out","Y","Andrelton Simmons","2012-06-18"
"Pop Out","Y","Andrelton Simmons","2012-06-18"
"Single","Y","David Ross","2012-06-18"
"Single","Y","David Ross","2012-06-18"
"Strikeout","Y","Michael Bourn","2012-06-18"
"Strikeout","Y","Michael Bourn","2012-06-18"
"Pop Out","Y","Martin Prado","2012-06-18"
"Pop Out","Y","Martin Prado","2012-06-18"
"Strikeout","N","Russell Martin","2012-06-18"
"Flyout","N","Jayson Nix","2012-06-18"
"Groundout","N","Chris Stewart","2012-06-18"
"Walk","Y","Brian McCann","2012-06-18"
"Walk","Y","Brian McCann","2012-06-18"
"Single","Y","Dan Uggla","2012-06-18"
"Single","Y","Dan Uggla","2012-06-18"
"Grounded Into DP","Y","Matt Diaz","2012-06-18"
"Grounded Into DP","Y","Matt Diaz","2012-06-18"
"Groundout","Y","Chipper Jones","2012-06-18"
"Groundout","Y","Chipper Jones","2012-06-18"
"Groundout","N","Derek Jeter","2012-06-18"
"Groundout","N","Curtis Granderson","2012-06-18"
"Flyout","N","Mark Teixeira","2012-06-18"
"Single","Y","Jason Heyward","2012-06-18"
"Single","Y","Jason Heyward","2012-06-18"
"Single","Y","Andrelton Simmons","2012-06-18"
"Single","Y","Andrelton Simmons","2012-06-18"
"Strikeout","Y","David Ross","2012-06-18"
"Strikeout","Y","David Ross","2012-06-18"
"Single","Y","Michael Bourn","2012-06-18"
"Single","Y","Michael Bourn","2012-06-18"
"Forceout","Y","Martin Prado","2012-06-18"
"Forceout","Y","Martin Prado","2012-06-18"
"Groundout","Y","Brian McCann","2012-06-18"
"Groundout","Y","Brian McCann","2012-06-18"
"Single","N","Alex Rodriguez","2012-06-18"
"Walk","N","Robinson Cano","2012-06-18"
"Strikeout","N","Andruw Jones","2012-06-18"
"Double","N","Russell Martin","2012-06-18"
"Walk","N","Jayson Nix","2012-06-18"
"Pop Out","N","Chris Stewart","2012-06-18"
"Single","N","Derek Jeter","2012-06-18"
"Strikeout","N","Curtis Granderson","2012-06-18"
"Flyout","Y","Dan Uggla","2012-06-18"
"Flyout","Y","Dan Uggla","2012-06-18"
"Strikeout","Y","Matt Diaz","2012-06-18"
"Strikeout","Y","Matt Diaz","2012-06-18"
"Groundout","Y","Chipper Jones","2012-06-18"
"Groundout","Y","Chipper Jones","2012-06-18"
"Home Run","N","Mark Teixeira","2012-06-18"
"Strikeout","N","Alex Rodriguez","2012-06-18"
"Pop Out","N","Robinson Cano","2012-06-18"
"Flyout","N","Andruw Jones","2012-06-18"
"Strikeout","Y","Jason Heyward","2012-06-18"
"Strikeout","Y","Jason Heyward","2012-06-18"
"Groundout","Y","Andrelton Simmons","2012-06-18"
"Groundout","Y","Andrelton Simmons","2012-06-18"
"Single","Y","David Ross","2012-06-18"
"Single","Y","David Ross","2012-06-18"
"Forceout","Y","Michael Bourn","2012-06-18"
"Forceout","Y","Michael Bourn","2012-06-18"
"Single","N","Russell Martin","2012-06-18"
"Grounded Into DP","N","Raul Ibanez","2012-06-18"
"Double","N","Chris Stewart","2012-06-18"
"Single","N","Derek Jeter","2012-06-18"
"Walk","N","Curtis Granderson","2012-06-18"
"Strikeout","N","Mark Teixeira","2012-06-18"
"Strikeout","Y","Martin Prado","2012-06-18"
"Strikeout","Y","Martin Prado","2012-06-18"
"Strikeout","Y","Brian McCann","2012-06-18"
"Strikeout","Y","Brian McCann","2012-06-18"
"Groundout","Y","Dan Uggla","2012-06-18"
"Groundout","Y","Dan Uggla","2012-06-18"
"Groundout","N","Alex Rodriguez","2012-06-18"
"Home Run","N","Robinson Cano","2012-06-18"
"Strikeout","N","Andruw Jones","2012-06-18"
"Strikeout","N","Russell Martin","2012-06-18"
"Groundout","Y","Matt Diaz","2012-06-18"
"Groundout","Y","Matt Diaz","2012-06-18"
"Strikeout","Y","Chipper Jones","2012-06-18"
"Strikeout","Y","Chipper Jones","2012-06-18"
"Strikeout","Y","Jason Heyward","2012-06-18"
"Strikeout","Y","Jason Heyward","2012-06-18"
"Groundout","Y","Brian Roberts","2012-06-18"
"Groundout","Y","J.J. Hardy","2012-06-18"
"Strikeout","Y","Chris Davis","2012-06-18"
"Strikeout","N","Kirk Nieuwenhuis","2012-06-18"
"Pop Out","N","Jordany Valdespin","2012-06-18"
"Groundout","N","David Wright","2012-06-18"
"Groundout","Y","Adam Jones","2012-06-18"
"Strikeout","Y","Matt Wieters","2012-06-18"
"Groundout","Y","Mark Reynolds","2012-06-18"
"Single","N","Lucas Duda","2012-06-18"
"Strikeout","N","Ike Davis","2012-06-18"
"Single","N","Scott Hairston","2012-06-18"
"Grounded Into DP","N","Josh Thole","2012-06-18"
"Strikeout","Y","Wilson Betemit","2012-06-18"
"Strikeout","Y","Steve Pearce","2012-06-18"
"Walk","Y","Jake Arrieta","2012-06-18"
"Strikeout","Y","Brian Roberts","2012-06-18"
"Groundout","N","Omar Quintanilla","2012-06-18"
"Groundout","N","R.A. Dickey","2012-06-18"
"Single","N","Kirk Nieuwenhuis","2012-06-18"
"Flyout","N","Jordany Valdespin","2012-06-18"
"Groundout","Y","J.J. Hardy","2012-06-18"
"Groundout","Y","Chris Davis","2012-06-18"
"Groundout","Y","Adam Jones","2012-06-18"
"Strikeout","N","David Wright","2012-06-18"
"Strikeout","N","Lucas Duda","2012-06-18"
"Lineout","N","Ike Davis","2012-06-18"
"Strikeout","Y","Matt Wieters","2012-06-18"
"Strikeout","Y","Mark Reynolds","2012-06-18"
"Single","Y","Wilson Betemit","2012-06-18"
"Flyout","Y","Steve Pearce","2012-06-18"
"Pop Out","N","Scott Hairston","2012-06-18"
"Groundout","N","Josh Thole","2012-06-18"
"Flyout","N","Omar Quintanilla","2012-06-18"
"Groundout","Y","Jake Arrieta","2012-06-18"
"Lineout","Y","Brian Roberts","2012-06-18"
"Groundout","Y","J.J. Hardy","2012-06-18"
"Single","N","R.A. Dickey","2012-06-18"
"Flyout","N","Kirk Nieuwenhuis","2012-06-18"
"Double","N","Jordany Valdespin","2012-06-18"
"Lineout","N","David Wright","2012-06-18"
"Walk","N","Lucas Duda","2012-06-18"
"Home Run","N","Ike Davis","2012-06-18"
"Flyout","N","Scott Hairston","2012-06-18"
"Strikeout","Y","Chris Davis","2012-06-18"
"Groundout","Y","Adam Jones","2012-06-18"
"Strikeout","Y","Matt Wieters","2012-06-18"
"Flyout","N","Josh Thole","2012-06-18"
"Lineout","N","Omar Quintanilla","2012-06-18"
"Flyout","N","R.A. Dickey","2012-06-18"
"Flyout","Y","Mark Reynolds","2012-06-18"
"Walk","Y","Wilson Betemit","2012-06-18"
"Strikeout","Y","Steve Pearce","2012-06-18"
"Strikeout","Y","Nick Johnson","2012-06-18"
"Strikeout","N","Kirk Nieuwenhuis","2012-06-18"
"Triple","N","Jordany Valdespin","2012-06-18"
"Single","N","David Wright","2012-06-18"
"Strikeout","N","Lucas Duda","2012-06-18"
"Walk","N","Ike Davis","2012-06-18"
"Strikeout","N","Scott Hairston","2012-06-18"
"Groundout","Y","Brian Roberts","2012-06-18"
"Strikeout","Y","J.J. Hardy","2012-06-18"
"Strikeout","Y","Chris Davis","2012-06-18"
"Flyout","Y","David DeJesus","2012-06-18"
"Flyout","Y","David DeJesus","2012-06-18"
"Flyout","Y","Starlin Castro","2012-06-18"
"Flyout","Y","Starlin Castro","2012-06-18"
"Single","Y","Bryan LaHair","2012-06-18"
"Single","Y","Bryan LaHair","2012-06-18"
"Strikeout","Y","Alfonso Soriano","2012-06-18"
"Strikeout","Y","Alfonso Soriano","2012-06-18"
"Lineout","N","Alejandro De Aza","2012-06-18"
"Flyout","N","Gordon Beckham","2012-06-18"
"Strikeout","N","Adam Dunn","2012-06-18"
"Groundout","Y","Steve Clevenger","2012-06-18"
"Groundout","Y","Steve Clevenger","2012-06-18"
"Groundout","Y","Darwin Barney","2012-06-18"
"Groundout","Y","Darwin Barney","2012-06-18"
"Single","Y","Luis Valbuena","2012-06-18"
"Single","Y","Luis Valbuena","2012-06-18"
"Groundout","Y","Geovany Soto","2012-06-18"
"Groundout","Y","Geovany Soto","2012-06-18"
"Flyout","N","Paul Konerko","2012-06-18"
"Strikeout","N","Alex Rios","2012-06-18"
"Strikeout","N","A.J. Pierzynski","2012-06-18"
"Groundout","Y","Tony Campana","2012-06-18"
"Groundout","Y","Tony Campana","2012-06-18"
"Flyout","Y","David DeJesus","2012-06-18"
"Flyout","Y","David DeJesus","2012-06-18"
"Single","Y","Starlin Castro","2012-06-18"
"Single","Y","Starlin Castro","2012-06-18"
"Home Run","Y","Bryan LaHair","2012-06-18"
"Home Run","Y","Bryan LaHair","2012-06-18"
"Groundout","Y","Alfonso Soriano","2012-06-18"
"Groundout","Y","Alfonso Soriano","2012-06-18"
"Flyout","N","Dayan Viciedo","2012-06-18"
"Single","N","Alexei Ramirez","2012-06-18"
"Pop Out","N","Orlando Hudson","2012-06-18"
